Guide1,Guide2,Library read counts,Rep1,Rep2,Gene1,Gene2
AHR-KO-1,NHT-KO-1,30,135,117,AHR,NHT
AHR-KO-1,NHT-KO-12,24,81,36,AHR,NHT
AHR-KO-1,NHT-KO-124,64,149,242,AHR,NHT
AHR-KO-1,NHT-KO-135,42,36,129,AHR,NHT
AHR-KO-1,NHT-KO-39,43,9,3,AHR,NHT
AHR-KO-1,NHT-KO-23,32,234,106,AHR,NHT
AHR-KO-1,NHT-KO-153,49,356,152,AHR,NHT
AHR-KO-1,NHT-KO-24,36,335,69,AHR,NHT
AHR-KO-1,NHT-KO-3,48,387,148,AHR,NHT
AHR-KO-1,NHT-KO-36,26,161,130,AHR,NHT
AHR-KO-1,NHT-KO-154,23,50,43,AHR,NHT
AHR-KO-1,NHT-KO-31,16,105,191,AHR,NHT
AHR-KO-1,NHT-KO-150,67,681,392,AHR,NHT
AHR-KO-1,NHT-KO-33,48,20,112,AHR,NHT
AHR-KO-1,NHT-KO-139,28,688,500,AHR,NHT
AHR-KO-1,NHT-KO-42,34,6,282,AHR,NHT
AHR-KO-1,NHT-KO-142,36,408,185,AHR,NHT
AHR-KO-1,NHT-KO-140,60,448,356,AHR,NHT
AHR-KO-1,NHT-KO-136,67,704,196,AHR,NHT
AHR-KO-1,NHT-KO-28,24,56,36,AHR,NHT
AHR-KO-1,NHT-KO-29,24,206,146,AHR,NHT
AHR-KO-1,NHT-KO-21,43,196,143,AHR,NHT
AHR-KO-1,NHT-KO-126,35,60,108,AHR,NHT
AHR-KO-1,NHT-KO-133,67,108,108,AHR,NHT
AHR-KO-1,NHT-KO-30,76,597,445,AHR,NHT
AHR-KO-1,NHT-KO-13,59,527,134,AHR,NHT
AHR-KO-1,NHT-KO-7,23,6,63,AHR,NHT
AHR-KO-1,NHT-KO-129,38,7,106,AHR,NHT
AHR-KO-1,NHT-KO-37,37,304,256,AHR,NHT
AHR-KO-1,NHT-KO-131,28,34,89,AHR,NHT
AHR-KO-1,NHT-KO-32,50,162,297,AHR,NHT
AHR-KO-1,NHT-KO-27,41,95,149,AHR,NHT
AHR-KO-1,NHT-KO-147,15,24,26,AHR,NHT
AHR-KO-1,NHT-KO-144,53,405,224,AHR,NHT
AHR-KO-1,NHT-KO-10,36,204,159,AHR,NHT
AHR-KO-1,NHT-KO-155,50,19,61,AHR,NHT
AHR-KO-1,NHT-KO-145,22,118,68,AHR,NHT
AHR-KO-1,NHT-KO-6,43,383,318,AHR,NHT
AHR-KO-1,NHT-KO-2,28,146,228,AHR,NHT
AHR-KO-1,NHT-KO-127,27,202,121,AHR,NHT
AHR-KO-1,NHT-KO-141,29,196,77,AHR,NHT
AHR-KO-1,NHT-KO-11,18,257,344,AHR,NHT
AHR-KO-1,NHT-KO-22,43,909,801,AHR,NHT
AHR-KO-1,NHT-KO-122,10,381,58,AHR,NHT
AHR-KO-1,NHT-KO-125,29,9,137,AHR,NHT
AHR-KO-1,NHT-KO-17,28,218,471,AHR,NHT
AHR-KO-1,NHT-KO-123,29,88,13,AHR,NHT
AHR-KO-1,NHT-KO-146,8,99,3,AHR,NHT
AHR-KO-1,NHT-KO-130,46,83,88,AHR,NHT
AHR-KO-1,NHT-KO-138,32,329,333,AHR,NHT
AHR-KO-1,NHT-KO-143,25,60,232,AHR,NHT
AHR-KO-1,NHT-KO-134,51,54,306,AHR,NHT
AHR-KO-1,NHT-KO-14,85,172,201,AHR,NHT
AHR-KO-1,NHT-KO-121,55,98,231,AHR,NHT
AHR-KO-1,NHT-KO-40,85,501,196,AHR,NHT
AHR-KO-1,NHT-KO-34,23,0,3,AHR,NHT
AHR-KO-1,NHT-KO-18,57,289,157,AHR,NHT
AHR-KO-1,NHT-KO-151,22,28,139,AHR,NHT
AHR-KO-1,NHT-KO-132,45,435,363,AHR,NHT
AHR-KO-1,NHT-KO-43,32,0,157,AHR,NHT
AHR-KO-1,NHT-KO-35,19,199,142,AHR,NHT
AHR-KO-1,NHT-KO-15,31,121,328,AHR,NHT
AHR-KO-1,TAOK1-KO-1,35,306,207,AHR,TAOK1
AHR-KO-1,TAOK1-KO-2,49,52,170,AHR,TAOK1
AHR-KO-1,TAOK1-KO-3,22,39,329,AHR,TAOK1
AHR-KO-1,TAOK1-KO-4,31,41,179,AHR,TAOK1
AHR-KO-1,TP53-KO-1,33,274,255,AHR,TP53
AHR-KO-1,TP53-KO-2,61,1620,1536,AHR,TP53
AHR-KO-1,TP53-KO-3,22,433,83,AHR,TP53
AHR-KO-1,TP53-KO-4,35,2223,1786,AHR,TP53
AHR-KO-1,XPO1-KO-1,41,1,0,AHR,XPO1
AHR-KO-1,XPO1-KO-2,52,0,1,AHR,XPO1
AHR-KO-1,XPO1-KO-3,40,0,0,AHR,XPO1
AHR-KO-1,XPO1-KO-4,36,77,0,AHR,XPO1
AHR-KO-1,XRN2-KO-1,36,0,12,AHR,XRN2
AHR-KO-1,XRN2-KO-2,30,25,1,AHR,XRN2
AHR-KO-1,XRN2-KO-3,25,0,0,AHR,XRN2
AHR-KO-1,XRN2-KO-4,39,148,9,AHR,XRN2
AHR-KO-2,AHR-KO-1,43,69,5,AHR,AHR
AHR-KO-2,AHR-KO-2,47,474,397,AHR,AHR
AHR-KO-2,AHR-KO-3,68,1009,458,AHR,AHR
AHR-KO-2,AHR-KO-4,24,166,120,AHR,AHR
AHR-KO-2,ARNT-KO-1,44,192,303,AHR,ARNT
AHR-KO-2,ARNT-KO-2,32,120,76,AHR,ARNT
AHR-KO-2,ARNT-KO-3,38,176,193,AHR,ARNT
AHR-KO-2,ARNT-KO-4,29,75,169,AHR,ARNT
AHR-KO-2,BBX-KO-1,21,49,174,AHR,BBX
AHR-KO-2,BBX-KO-2,29,76,62,AHR,BBX
AHR-KO-2,BBX-KO-3,24,76,106,AHR,BBX
AHR-KO-2,BBX-KO-4,41,309,13,AHR,BBX
AHR-KO-2,C3orf17-KO-1,42,123,15,AHR,C3orf17
AHR-KO-2,C3orf17-KO-2,32,502,377,AHR,C3orf17
AHR-KO-2,C3orf17-KO-3,25,1,19,AHR,C3orf17
AHR-KO-2,C3orf17-KO-4,48,42,9,AHR,C3orf17
AHR-KO-2,CAND1-KO-1,34,46,234,AHR,CAND1
AHR-KO-2,CAND1-KO-2,26,25,22,AHR,CAND1
AHR-KO-2,CAND1-KO-3,37,26,8,AHR,CAND1
AHR-KO-2,CAND1-KO-4,71,83,60,AHR,CAND1
AHR-KO-2,CCT4-KO-1,45,0,32,AHR,CCT4
AHR-KO-2,CCT4-KO-2,24,2,0,AHR,CCT4
AHR-KO-2,CCT4-KO-3,40,5,2,AHR,CCT4
AHR-KO-2,CCT4-KO-4,49,0,22,AHR,CCT4
AHR-KO-2,DIMT1-KO-1,42,1,20,AHR,DIMT1
AHR-KO-2,DIMT1-KO-2,46,369,284,AHR,DIMT1
AHR-KO-2,DIMT1-KO-3,43,32,0,AHR,DIMT1
AHR-KO-2,DIMT1-KO-4,105,38,21,AHR,DIMT1
AHR-KO-2,EFTUD2-KO-1,53,1,0,AHR,EFTUD2
AHR-KO-2,EFTUD2-KO-2,61,69,56,AHR,EFTUD2
AHR-KO-2,EFTUD2-KO-3,56,0,0,AHR,EFTUD2
AHR-KO-2,EFTUD2-KO-4,36,0,14,AHR,EFTUD2
AHR-KO-2,EIF3B-KO-1,44,6,38,AHR,EIF3B
AHR-KO-2,EIF3B-KO-2,70,0,0,AHR,EIF3B
AHR-KO-2,EIF3B-KO-3,46,0,0,AHR,EIF3B
AHR-KO-2,EIF3B-KO-4,46,1,0,AHR,EIF3B
AHR-KO-2,FRYL-KO-1,47,269,612,AHR,FRYL
AHR-KO-2,FRYL-KO-2,31,139,179,AHR,FRYL
AHR-KO-2,FRYL-KO-3,44,2,28,AHR,FRYL
AHR-KO-2,FRYL-KO-4,45,19,45,AHR,FRYL
AHR-KO-2,IARS-KO-1,25,0,0,AHR,IARS
AHR-KO-2,IARS-KO-2,24,9,1,AHR,IARS
AHR-KO-2,IARS-KO-3,20,0,0,AHR,IARS
AHR-KO-2,IARS-KO-4,29,0,3,AHR,IARS
AHR-KO-2,KEAP1-KO-1,49,183,298,AHR,KEAP1
AHR-KO-2,KEAP1-KO-2,27,195,112,AHR,KEAP1
AHR-KO-2,KEAP1-KO-3,80,203,236,AHR,KEAP1
AHR-KO-2,KEAP1-KO-4,47,252,117,AHR,KEAP1
AHR-KO-2,KIRREL-KO-1,40,75,338,AHR,KIRREL
AHR-KO-2,KIRREL-KO-2,29,93,167,AHR,KIRREL
AHR-KO-2,KIRREL-KO-3,91,666,277,AHR,KIRREL
AHR-KO-2,KIRREL-KO-4,58,686,389,AHR,KIRREL
AHR-KO-2,NARS-KO-1,44,13,25,AHR,NARS
AHR-KO-2,NARS-KO-2,26,1,45,AHR,NARS
AHR-KO-2,NARS-KO-3,57,7,12,AHR,NARS
AHR-KO-2,NARS-KO-4,22,0,0,AHR,NARS
AHR-KO-2,NCL-KO-1,29,0,0,AHR,NCL
AHR-KO-2,NCL-KO-2,53,63,79,AHR,NCL
AHR-KO-2,NCL-KO-3,43,0,0,AHR,NCL
AHR-KO-2,NCL-KO-4,24,19,2,AHR,NCL
AHR-KO-2,NF2-KO-1,23,134,182,AHR,NF2
AHR-KO-2,NF2-KO-2,49,50,208,AHR,NF2
AHR-KO-2,NF2-KO-3,47,46,320,AHR,NF2
AHR-KO-2,NF2-KO-4,36,33,278,AHR,NF2
AHR-KO-2,NHT-KO-20,9,7,76,AHR,NHT
AHR-KO-2,NHT-KO-25,51,606,279,AHR,NHT
AHR-KO-2,NHT-KO-8,19,154,180,AHR,NHT
AHR-KO-2,NHT-KO-9,89,649,586,AHR,NHT
AHR-KO-2,NHT-KO-26,40,99,143,AHR,NHT
AHR-KO-2,NHT-KO-41,77,138,140,AHR,NHT
AHR-KO-2,NHT-KO-44,90,634,515,AHR,NHT
AHR-KO-2,NHT-KO-149,75,242,84,AHR,NHT
AHR-KO-2,NHT-KO-5,21,218,108,AHR,NHT
AHR-KO-2,NHT-KO-148,49,309,553,AHR,NHT
AHR-KO-2,NHT-KO-16,51,363,437,AHR,NHT
AHR-KO-2,NHT-KO-156,16,192,169,AHR,NHT
AHR-KO-2,NHT-KO-4,28,90,211,AHR,NHT
AHR-KO-2,NHT-KO-128,38,936,296,AHR,NHT
AHR-KO-2,NHT-KO-19,44,151,95,AHR,NHT
AHR-KO-2,NHT-KO-152,61,328,380,AHR,NHT
AHR-KO-2,NHT-KO-137,34,83,74,AHR,NHT
AHR-KO-2,NHT-KO-38,59,469,250,AHR,NHT
AHR-KO-2,NHT-KO-1,39,10,68,AHR,NHT
AHR-KO-2,NHT-KO-12,22,32,4,AHR,NHT
AHR-KO-2,NHT-KO-124,59,236,267,AHR,NHT
AHR-KO-2,NHT-KO-135,42,76,221,AHR,NHT
AHR-KO-2,NHT-KO-39,36,97,124,AHR,NHT
AHR-KO-2,NHT-KO-23,36,182,126,AHR,NHT
AHR-KO-2,NHT-KO-153,50,61,305,AHR,NHT
AHR-KO-2,NHT-KO-24,38,162,101,AHR,NHT
AHR-KO-2,NHT-KO-3,52,53,309,AHR,NHT
AHR-KO-2,NHT-KO-36,45,176,259,AHR,NHT
AHR-KO-2,NHT-KO-154,24,187,121,AHR,NHT
AHR-KO-2,NHT-KO-31,20,212,187,AHR,NHT
AHR-KO-2,NHT-KO-150,71,220,70,AHR,NHT
AHR-KO-2,NHT-KO-33,45,205,231,AHR,NHT
AHR-KO-2,NHT-KO-139,44,169,419,AHR,NHT
AHR-KO-2,NHT-KO-42,37,56,226,AHR,NHT
AHR-KO-2,NHT-KO-142,45,149,76,AHR,NHT
AHR-KO-2,NHT-KO-140,61,429,165,AHR,NHT
AHR-KO-2,NHT-KO-136,64,133,471,AHR,NHT
AHR-KO-2,NHT-KO-28,20,129,152,AHR,NHT
AHR-KO-2,NHT-KO-29,38,135,199,AHR,NHT
AHR-KO-2,NHT-KO-21,68,1020,204,AHR,NHT
AHR-KO-2,NHT-KO-126,32,28,156,AHR,NHT
AHR-KO-2,NHT-KO-133,66,240,89,AHR,NHT
AHR-KO-2,NHT-KO-30,88,87,11,AHR,NHT
AHR-KO-2,NHT-KO-13,59,309,372,AHR,NHT
AHR-KO-2,NHT-KO-7,24,448,104,AHR,NHT
AHR-KO-2,NHT-KO-129,45,396,106,AHR,NHT
AHR-KO-2,NHT-KO-37,26,232,105,AHR,NHT
AHR-KO-2,NHT-KO-131,30,610,77,AHR,NHT
AHR-KO-2,NHT-KO-32,57,246,265,AHR,NHT
AHR-KO-2,NHT-KO-27,50,433,397,AHR,NHT
AHR-KO-2,NHT-KO-147,27,23,10,AHR,NHT
AHR-KO-2,NHT-KO-144,56,56,38,AHR,NHT
AHR-KO-2,NHT-KO-10,40,17,272,AHR,NHT
AHR-KO-2,NHT-KO-155,61,197,473,AHR,NHT
AHR-KO-2,NHT-KO-145,18,20,48,AHR,NHT
AHR-KO-2,NHT-KO-6,44,375,464,AHR,NHT
AHR-KO-2,NHT-KO-2,48,196,131,AHR,NHT
AHR-KO-2,NHT-KO-127,27,156,33,AHR,NHT
AHR-KO-2,NHT-KO-141,25,5,2,AHR,NHT
AHR-KO-2,NHT-KO-11,27,159,220,AHR,NHT
AHR-KO-2,NHT-KO-22,44,586,390,AHR,NHT
AHR-KO-2,NHT-KO-122,20,137,21,AHR,NHT
AHR-KO-2,NHT-KO-125,43,78,46,AHR,NHT
AHR-KO-2,NHT-KO-17,32,206,118,AHR,NHT
AHR-KO-2,NHT-KO-123,24,79,154,AHR,NHT
AHR-KO-2,NHT-KO-146,13,98,2,AHR,NHT
AHR-KO-2,NHT-KO-130,40,320,151,AHR,NHT
AHR-KO-2,NHT-KO-138,33,131,93,AHR,NHT
AHR-KO-2,NHT-KO-143,43,52,277,AHR,NHT
AHR-KO-2,NHT-KO-134,56,706,599,AHR,NHT
AHR-KO-2,NHT-KO-14,107,85,144,AHR,NHT
AHR-KO-2,NHT-KO-121,45,278,620,AHR,NHT
AHR-KO-2,NHT-KO-40,60,198,370,AHR,NHT
AHR-KO-2,NHT-KO-34,25,45,33,AHR,NHT
AHR-KO-2,NHT-KO-18,61,149,129,AHR,NHT
AHR-KO-2,NHT-KO-151,25,90,136,AHR,NHT
AHR-KO-2,NHT-KO-132,68,486,653,AHR,NHT
AHR-KO-2,NHT-KO-43,42,50,31,AHR,NHT
AHR-KO-2,NHT-KO-35,38,40,84,AHR,NHT
AHR-KO-2,NHT-KO-15,38,182,442,AHR,NHT
AHR-KO-2,TAOK1-KO-1,43,30,144,AHR,TAOK1
AHR-KO-2,TAOK1-KO-2,52,397,176,AHR,TAOK1
AHR-KO-2,TAOK1-KO-3,24,53,83,AHR,TAOK1
AHR-KO-2,TAOK1-KO-4,29,24,94,AHR,TAOK1
AHR-KO-2,TP53-KO-1,38,659,1166,AHR,TP53
AHR-KO-2,TP53-KO-2,73,1773,1810,AHR,TP53
